index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
32,562, , ,丰城二套,AVS+,DRA,开锁, , ,丰城, ,413112784 2018-06-17, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,650, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,650, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,650, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,650, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,770, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,770, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,770, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,770, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,770, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,770, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,770, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,770, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,丰城, ,装甲步兵2018-07-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
