index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
94,554, , ,靖边一台, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
95,554, , ,中央电视台电视剧频道, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
96,554, , ,陕西卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
97,554, , ,陕西西部电影频道, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
98,554, , ,江苏卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
99,554, , ,广东卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
100,554, , ,云南卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
101,554, , ,辽宁卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
102,554, , ,深圳卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
103,554, , ,星空卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
104,554, , ,内蒙古卫视, , , , , ,靖边燕东山发射塔, ,1558420997 2018-05-29,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
105,626, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
106,626, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
107,626, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
108,626, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
109,626, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
110,626, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
111,626, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
112,626, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,清涧, ,猪头 2018-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
113,626, , ,横山一套,MPEG-2,MPEG-1,开锁,515,516,横山县, ,2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
114,626, , ,横山二套,MPEG-2,MPEG-1,开锁,519,520,横山县, ,2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
115,626, , ,榆林一套,MPEG-2,MPEG-1,开锁,771,772,横山县, ,2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
116,626, , ,榆林二套,MPEG-2,MPEG-1,开锁,775,776,横山县, ,2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
117,626, , ,陕西新闻资讯频道,MPEG-2,MPEG-1,开锁,260,261,横山县, ,2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
118,650, , ,榆林一套,MPEG-2,MPEG-1,开锁,33,34,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
119,650, , ,榆林二套,MPEG-2,MPEG-1,开锁,49,50,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
120,650, , ,陕西四套（影视),MPEG-2,MPEG-2,开锁,65,66,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
121,650, , ,陕西二套（都市青春）,MPEG-2,MPEG-2,开锁,1553,1554,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
122,650, , ,陕西新闻资讯,MPEG-2,MPEG-2,开锁,1297,1298,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
123,650, , ,榆林新闻综合广播, ,MPEG-1,开锁, ,38,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
124,650, , ,榆林交通文艺广播, ,MPEG-1,开锁, ,273,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
125,650, , ,榆林生活资讯广播, ,MPEG-1,开锁, ,289,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
126,650, , ,陕西新闻广播, ,MPEG-1,开锁, ,36,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
127,650, , ,陕西农村广播, ,MPEG-1,开锁, ,40,市区,16QAM PN945 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
128,658, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区 神木市,4QAM PN595 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
129,658, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区 神木市,4QAM PN595 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
130,658, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区 神木市,4QAM PN595 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
131,658, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区 神木市,4QAM PN595 4./5(0.8),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
132,658, , ,中央电视台体育频道,MPEG-2,MPEG-1,开锁,37,38,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
133,658, , ,中央电视台综艺频道,MPEG-2,MPEG-1,开锁,33,34,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
134,658, , ,中央电视台农业农村频道,MPEG-2,MPEG-1,开锁,512,650,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
135,658, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
136,658, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
137,658, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,榆阳, ,陕北寻星2020-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
138,666,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
139,666,水平, ,中央电视台经济频道,AVS+,DRA,开锁,513,660, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
140,666,水平, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
141,666,水平, ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
142,666,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
143,666,水平, ,中央电视台新闻频道,AVS+,DRA,开锁,517,700, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
144,666,水平, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
145,666,水平, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,陕北寻星2017-09-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
