index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
32,626, , ,深圳卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,626, , ,第一剧场,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,658, , ,河北卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,658, , ,都市剧场,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,658, , ,梨园频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,658, , ,河北卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,658, , ,上海东方卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,658, , ,湖南卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,658, , ,黑龙江卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,658, , ,江苏卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,658, , ,北京卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,658, , ,广东卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
